                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9049,                 4.3788,                 1.5976,                0.76772,                0.65263,                0.74807,                0.38774,                 1.4822,                 3.3536,                 1.5748,                0.00012,                0.00012,                0.00012
                      2,                 1.4268,                 2.2732,                 1.3106,                0.00286,                0.26752,                0.00211,                0.00104,                    nan,                    nan,                    nan,             0.00025743,             0.00025743,             0.00025743
                      3,                 1.3417,                 1.3236,                 1.3199,                0.00075,                0.07006,                0.00041,                0.00021,                    nan,                    nan,                    nan,             0.00039208,             0.00039208,             0.00039208
                      4,                  1.345,                0.92417,                  1.356,                0.00041,                0.03822,                0.00024,                 0.0001,                    nan,                    nan,                    nan,             0.00052396,             0.00052396,             0.00052396
                      5,                 1.3047,                0.78958,                 1.3157,                0.00014,                0.01274,                  7e-05,                  2e-05,                    nan,                    nan,                    nan,             0.00065307,             0.00065307,             0.00065307
                      6,                 1.4344,                0.82913,                 1.4415,                  7e-05,                0.00637,                  4e-05,                      0,                    nan,                    nan,                    nan,             0.00077941,             0.00077941,             0.00077941
                      7,                 1.2632,                0.77985,                 1.2986,                 0.0002,                0.01911,                0.00062,                  8e-05,                    nan,                    nan,                    nan,             0.00090298,             0.00090298,             0.00090298
                      8,                  1.312,                 0.6716,                 1.2676,                 0.0002,                0.01911,                0.00062,                  8e-05,                    nan,                    nan,                    nan,              0.0010238,              0.0010238,              0.0010238
                      9,                 1.4494,                0.85908,                 1.4554,                 0.0002,                0.01911,                0.00062,                  8e-05,                    nan,                    nan,                    nan,              0.0011418,              0.0011418,              0.0011418
                     10,                 1.3526,                0.83732,                 1.3528,                 0.0002,                0.01911,                0.00062,                  8e-05,                    nan,                    nan,                    nan,               0.001257,               0.001257,               0.001257
                     11,                 1.2401,                0.75664,                 1.2781,                 0.0002,                0.01911,                0.00062,                  8e-05,                 5.9478,                    inf,                 2483.6,              0.0013695,              0.0013695,              0.0013695
                     12,                 1.2861,                0.72125,                 1.3204,                0.00027,                0.02548,                0.00014,                  2e-05,                  4.866,                    inf,                 77.523,              0.0014792,              0.0014792,              0.0014792
                     13,                 1.2162,                0.66114,                 1.2589,                  7e-05,                0.00637,                  4e-05,                      0,                 6.0547,                    inf,                 155.31,              0.0015862,              0.0015862,              0.0015862
                     14,                 1.2751,                0.71312,                 1.2615,                0.00014,                0.01274,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0016903,              0.0016903,              0.0016903
                     15,                 1.2297,                0.65082,                 1.2043,                0.00027,                0.02548,                0.00015,                  2e-05,                 5.0609,                    inf,                  199.6,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2196,                0.68646,                 1.2699,                0.00014,                0.01274,                  7e-05,                  1e-05,                 4.7507,                    inf,                 58.954,               0.001703,               0.001703,               0.001703
                     17,                  1.199,                0.60225,                 1.2304,                0.00014,                0.01274,                  7e-05,                  1e-05,                  4.579,                    inf,                 36.905,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2134,                0.70498,                 1.2689,                0.03645,                0.35669,                 0.0211,                0.01044,                 2.1939,                  13.51,                 2.6459,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.273,                0.70309,                  1.292,                0.00927,                0.24204,                0.00516,                0.00241,                  2.691,                 93.756,                 5.4428,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3159,                0.73364,                 1.3264,                0.85104,                 0.7707,                0.85938,                0.48507,                  1.465,                 1.5612,                 1.8138,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2411,                0.69962,                 1.2622,                0.82102,                0.79618,                0.82858,                0.48084,                  1.472,                 1.5088,                 1.7608,               0.001604,               0.001604,               0.001604
                     22,                 1.2916,                0.64501,                 1.3533,                 0.8812,                0.94496,                0.94048,                0.55724,                 1.3863,                0.93045,                 1.7237,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2742,                0.62763,                 1.3017,                0.93103,                0.94904,                0.95796,                0.58626,                 1.3209,                0.96807,                 1.5633,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.2022,                0.58247,                 1.2492,                0.56264,                0.78981,                0.53509,                 0.3033,                 1.3748,                 1.5809,                 1.5539,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1393,                0.57329,                 1.2255,                 0.8338,                0.73248,                0.82846,                0.51897,                 1.3273,                  1.186,                 1.4971,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1502,                0.59064,                 1.2016,                0.83724,                0.75361,                0.82419,                0.51067,                 1.3113,                 1.2334,                 1.4662,               0.001505,               0.001505,               0.001505
                     27,                 1.1511,                0.59687,                 1.2622,                0.85666,                0.83748,                0.89335,                0.58905,                 1.1904,                0.90038,                 1.3945,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1719,                0.59924,                 1.2393,                0.78652,                  0.704,                0.77268,                0.45922,                 1.5152,                0.94959,                 1.6166,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1718,                0.57304,                 1.2448,                0.77522,                 0.6879,                0.76367,                0.46803,                 1.4817,                0.92471,                 1.5859,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1617,                0.54454,                 1.1937,                0.90621,                0.83439,                0.89442,                0.58938,                 1.2435,                 1.0312,                  1.428,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.115,                 0.5699,                 1.2334,                0.88455,                0.82964,                0.89974,                0.57618,                 1.2338,                0.93768,                 1.4335,               0.001406,               0.001406,               0.001406
                     32,                 1.2053,                0.56511,                 1.2537,                0.90812,                0.88133,                0.92286,                 0.6253,                 1.1372,                0.69493,                 1.3567,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.1631,                0.56671,                 1.2223,                0.92913,                0.90446,                0.94717,                0.63178,                 1.1795,                0.75137,                 1.4074,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.1182,                0.56177,                 1.2369,                0.95995,                0.95541,                0.97295,                0.66969,                  1.107,                0.52524,                 1.3514,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0648,                0.52694,                 1.2018,                0.96547,                0.96815,                0.97723,                0.68749,                 1.1152,                0.53212,                 1.3541,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0755,                0.54484,                 1.1577,                0.96549,                0.94904,                0.96133,                0.65437,                 1.1306,                0.53806,                  1.351,               0.001307,               0.001307,               0.001307
                     37,                 1.0676,                0.49814,                 1.1199,                0.96935,                 0.9172,                0.96027,                0.65806,                 1.1286,                0.52301,                 1.3446,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0852,                0.51792,                 1.2024,                0.97261,                0.92357,                0.96582,                0.66153,                 1.1567,                0.52183,                 1.3454,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0664,                0.50556,                 1.1492,                0.96738,                0.94457,                0.98791,                0.67491,                 1.1018,                0.48004,                 1.3133,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0182,                0.48186,                 1.1339,                0.97451,                0.97414,                0.98859,                 0.6617,                 1.1453,                0.47712,                 1.3362,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0322,                0.47916,                 1.1583,                0.95594,                0.96726,                0.98555,                0.68433,                 1.0779,                0.48793,                 1.2871,               0.001208,               0.001208,               0.001208
                     42,                 1.0459,                0.48454,                 1.1427,                0.02097,                0.71975,                 0.0186,                0.01178,                 1.2887,                 19.588,                 1.4299,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0195,                0.50114,                 1.1569,                0.97875,                0.98089,                0.99044,                0.70384,                 1.0885,                0.45055,                 1.2833,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.073,                0.48846,                 1.1626,                0.40406,                0.87898,                0.40954,                0.27788,                 1.1101,                 1.8803,                 1.2973,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0446,                 0.4877,                 1.1443,                0.25175,                0.82166,                0.25335,                0.17095,                  1.156,                 2.9032,                 1.3532,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0111,                0.47597,                 1.1151,                0.98124,                0.98726,                0.99425,                0.68306,                 1.1119,                0.48444,                 1.3281,               0.001109,               0.001109,               0.001109
                     47,                 1.0024,                0.47461,                 1.1319,                0.98099,                0.98584,                0.99432,                0.69698,                 1.0623,                0.44522,                 1.2779,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0656,                 0.4925,                 1.1961,                  0.986,                0.98089,                 0.9905,                0.70643,                 1.0517,                0.44768,                 1.2742,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0292,                0.46758,                 1.1298,                0.98681,                0.95341,                0.99321,                 0.6991,                  1.056,                0.44974,                 1.2814,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0271,                 0.4753,                 1.1369,                0.96227,                0.97478,                0.99244,                0.71386,                 1.0129,                0.44374,                 1.2528,              0.0010298,              0.0010298,              0.0010298
                     51,                0.98817,                0.46722,                 1.1291,                0.96652,                0.96815,                  0.991,                0.70192,                 1.0355,                0.43418,                 1.2517,                0.00101,                0.00101,                0.00101
                     52,                0.95925,                0.44191,                 1.1319,                0.96828,                0.96178,                0.98904,                0.69427,                 1.0922,                0.44308,                 1.2831,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0099,                0.46796,                 1.1376,                0.97781,                0.98089,                0.99282,                0.70253,                 1.0473,                 0.4265,                 1.2555,              0.0009704,              0.0009704,              0.0009704
                     54,                0.99212,                0.46332,                 1.1204,                0.99351,                0.97446,                0.99328,                0.70253,                 1.0399,                0.42705,                 1.2525,              0.0009506,              0.0009506,              0.0009506
                     55,                0.95578,                0.44351,                 1.1073,                0.98776,                0.97452,                0.98932,                0.70772,                 1.0186,                0.40988,                 1.2486,              0.0009308,              0.0009308,              0.0009308
                     56,                0.99867,                0.45876,                 1.1596,                0.99353,                0.97847,                0.98836,                0.72287,                  1.003,                0.40431,                 1.2297,               0.000911,               0.000911,               0.000911
                     57,                 1.0056,                0.45017,                 1.1032,                  0.999,                0.98089,                0.98907,                0.72845,                 0.9973,                 0.4121,                 1.2337,              0.0008912,              0.0008912,              0.0008912
                     58,                0.97678,                0.43456,                 1.0964,                0.98574,                0.98726,                 0.9895,                0.71132,                 1.0399,                0.43277,                  1.261,              0.0008714,              0.0008714,              0.0008714
                     59,                0.95077,                0.42364,                 1.0838,                0.99124,                0.98089,                0.99193,                0.71688,                 1.0434,                0.42629,                 1.2651,              0.0008516,              0.0008516,              0.0008516
                     60,                0.97016,                0.43822,                 1.1098,                      1,                0.96789,                0.99123,                0.71209,                 1.0403,                0.41425,                 1.2732,              0.0008318,              0.0008318,              0.0008318
                     61,                0.92958,                0.42436,                  1.087,                0.99346,                0.96717,                0.99049,                0.69628,                 1.0835,                0.42938,                 1.2986,               0.000812,               0.000812,               0.000812
                     62,                0.90702,                 0.4268,                 1.0739,                0.98062,                0.96701,                0.99219,                0.69752,                 1.0983,                0.42441,                 1.2892,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.9308,                0.42082,                 1.0891,                0.98987,                0.98726,                0.99386,                0.69967,                 1.1119,                0.41747,                 1.3073,              0.0007724,              0.0007724,              0.0007724
                     64,                0.89585,                0.41196,                 1.0855,                0.96246,                0.97994,                0.99208,                0.70842,                 1.0602,                 0.4148,                 1.2747,              0.0007526,              0.0007526,              0.0007526
                     65,                0.91745,                0.41387,                 1.0743,                 0.9587,                0.96178,                0.99089,                0.71498,                 1.0571,                0.42525,                 1.2704,              0.0007328,              0.0007328,              0.0007328
                     66,                0.90423,                0.40656,                 1.0366,                0.96182,                0.96815,                0.99006,                0.71855,                 1.0437,                0.43378,                 1.2614,               0.000713,               0.000713,               0.000713
                     67,                0.87696,                0.40585,                 1.0489,                0.97401,                0.95475,                0.98749,                0.72164,                 1.0877,                0.44586,                 1.2963,              0.0006932,              0.0006932,              0.0006932
                     68,                0.89011,                0.39908,                 1.0577,                0.96853,                0.98007,                0.99285,                0.73466,                 1.0029,                0.40132,                 1.2454,              0.0006734,              0.0006734,              0.0006734
                     69,                0.90573,                 0.4064,                 1.1303,                0.96852,                0.97972,                0.99323,                0.73683,                 0.9973,                 0.3999,                 1.2503,              0.0006536,              0.0006536,              0.0006536
                     70,                0.86543,                 0.3995,                 1.0702,                0.99539,                0.97452,                0.99438,                 0.7045,                 1.0808,                0.40913,                 1.3019,              0.0006338,              0.0006338,              0.0006338
                     71,                0.82622,                0.38241,                  1.034,                0.98854,                0.96815,                0.99336,                0.72765,                 1.0291,                 0.3921,                 1.2613,               0.000614,               0.000614,               0.000614
                     72,                0.89962,                0.39563,                 1.0771,                0.98852,                0.95541,                 0.9935,                0.71812,                 1.0494,                0.39376,                 1.2692,              0.0005942,              0.0005942,              0.0005942
                     73,                0.89965,                0.40473,                 1.1053,                0.96781,                0.98726,                0.99394,                 0.7136,                  1.083,                0.39824,                 1.2895,              0.0005744,              0.0005744,              0.0005744
                     74,                0.87027,                 0.3996,                 1.0322,                0.98726,                0.98707,                0.99443,                0.70061,                 1.1154,                0.39974,                 1.3139,              0.0005546,              0.0005546,              0.0005546
                     75,                0.90371,                0.40827,                 1.0858,                0.98112,                0.99284,                0.99443,                0.71657,                 1.0624,                0.39619,                 1.2711,              0.0005348,              0.0005348,              0.0005348
                     76,                0.83722,                 0.3854,                 1.0682,                0.97961,                0.97452,                0.99357,                0.70492,                  1.098,                0.39689,                 1.2983,               0.000515,               0.000515,               0.000515
                     77,                0.85508,                0.37558,                 1.0451,                0.97466,                0.97985,                0.99318,                0.70323,                 1.0944,                0.39808,                 1.2981,              0.0004952,              0.0004952,              0.0004952
                     78,                0.85449,                0.37625,                 1.0524,                0.97344,                0.97452,                0.98915,                0.71089,                 1.0804,                0.41125,                 1.2907,              0.0004754,              0.0004754,              0.0004754
                     79,                0.83403,                 0.3741,                 1.0273,                0.98708,                0.97305,                0.98718,                0.70685,                 1.0568,                0.40203,                 1.2819,              0.0004556,              0.0004556,              0.0004556
                     80,                0.82234,                0.39078,                 1.0864,                0.98717,                0.98047,                0.98861,                0.70476,                 1.0743,                 0.4017,                 1.2838,              0.0004358,              0.0004358,              0.0004358
                     81,                 0.8217,                0.37615,                 1.0275,                0.97861,                0.98089,                  0.988,                0.70457,                 1.0683,                0.39989,                 1.2789,               0.000416,               0.000416,               0.000416
                     82,                0.83264,                0.39135,                 1.0468,                0.98542,                0.98726,                0.99214,                0.71817,                 1.0454,                0.39624,                 1.2703,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.7969,                0.37625,                 1.0339,                0.97417,                0.97452,                0.99166,                  0.717,                 1.0293,                0.40624,                  1.268,              0.0003764,              0.0003764,              0.0003764
                     84,                0.79862,                0.37223,                 1.0312,                0.96108,                0.98089,                0.98932,                0.71819,                  1.039,                0.40885,                 1.2659,              0.0003566,              0.0003566,              0.0003566
                     85,                0.78974,                 0.3692,                 1.0123,                0.96833,                0.97383,                0.98919,                0.71142,                 1.0434,                0.40696,                 1.2674,              0.0003368,              0.0003368,              0.0003368
                     86,                0.76227,                0.35671,                 1.0152,                0.95985,                0.98726,                0.99331,                0.70912,                 1.0506,                 0.3979,                 1.2764,               0.000317,               0.000317,               0.000317
                     87,                0.78235,                0.36698,                 1.0505,                0.96886,                0.99097,                0.99392,                0.71133,                 1.0599,                0.39207,                 1.2884,              0.0002972,              0.0002972,              0.0002972
                     88,                0.79563,                0.36594,                 1.0399,                0.96829,                0.99363,                0.99404,                0.71651,                 1.0577,                0.38949,                 1.2883,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.7931,                0.35813,                 1.0237,                0.98159,                0.98726,                 0.9943,                 0.7258,                 1.0394,                0.38097,                 1.2729,              0.0002576,              0.0002576,              0.0002576
                     90,                0.74782,                0.34234,                0.99813,                0.98111,                0.99233,                 0.9943,                 0.7285,                 1.0315,                0.37253,                 1.2691,              0.0002378,              0.0002378,              0.0002378
                     91,                0.77242,                0.35556,                 1.0728,                0.98717,                0.97995,                0.99417,                0.72329,                 1.0428,                 0.3769,                 1.2791,               0.000218,               0.000218,               0.000218
                     92,                0.76586,                0.34481,                 1.0734,                0.97482,                0.98646,                0.99386,                0.72327,                 1.0576,                0.38315,                 1.2868,              0.0001982,              0.0001982,              0.0001982
                     93,                  0.728,                0.34136,                 1.0315,                0.98717,                0.98021,                0.99404,                0.72397,                 1.0554,                0.38531,                 1.2873,              0.0001784,              0.0001784,              0.0001784
                     94,                0.72693,                0.33469,                 1.0629,                0.97852,                0.98089,                0.99356,                0.72671,                 1.0489,                 0.3915,                 1.2839,              0.0001586,              0.0001586,              0.0001586
                     95,                0.68628,                0.31989,                 1.0204,                0.98708,                0.97287,                 0.9934,                0.73287,                 1.0395,                0.39078,                 1.2803,              0.0001388,              0.0001388,              0.0001388
                     96,                0.71007,                 0.3217,                 1.0168,                 0.9798,                0.98089,                0.99335,                 0.7247,                 1.0344,                0.38568,                 1.2764,               0.000119,               0.000119,               0.000119
                     97,                0.68564,                0.31152,                 1.0169,                0.97887,                0.98089,                0.99314,                0.72403,                 1.0357,                0.38854,                 1.2756,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.71549,                0.31756,                 1.0651,                0.98695,                0.98089,                0.99362,                0.72569,                 1.0394,                 0.3867,                 1.2755,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.72239,                0.34139,                 1.0283,                0.99218,                0.98089,                 0.9938,                0.72194,                 1.0446,                0.38303,                 1.2794,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.68737,                0.31585,                 1.0291,                  0.985,                0.98726,                0.99379,                0.72597,                 1.0454,                0.38333,                 1.2814,               3.98e-05,               3.98e-05,               3.98e-05
