                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4456,                0.68926,                 1.1431,                0.85481,                0.79669,                0.85387,                0.50787,                  1.414,                0.80666,                 1.2353,             0.00066292,             0.00066292,             0.00066292
                      2,                 1.3254,                0.55717,                 1.0673,                0.85744,                 0.7832,                0.85817,                0.48499,                 1.5335,                0.81095,                 1.2523,              0.0012638,              0.0012638,              0.0012638
                      3,                 1.2582,                0.53452,                  1.036,                0.87063,                0.81197,                0.86734,                0.49776,                 1.5308,                0.78353,                 1.2782,              0.0017986,              0.0017986,              0.0017986
                      4,                 1.2027,                0.50392,                 1.0147,                0.87548,                0.79979,                0.86015,                0.49706,                 1.4759,                0.66704,                 1.2248,               0.001703,               0.001703,               0.001703
                      5,                 1.1525,                0.48646,                0.99475,                0.89907,                0.81765,                0.88017,                0.51502,                 1.4812,                0.64006,                   1.23,               0.001604,               0.001604,               0.001604
                      6,                 1.0916,                0.46281,                0.97463,                0.89411,                0.81308,                0.88326,                0.51761,                 1.4671,                0.65312,                 1.2199,               0.001505,               0.001505,               0.001505
                      7,                 1.0665,                0.44918,                0.96497,                0.89081,                0.82724,                0.88832,                0.53347,                 1.4326,                0.64095,                 1.2115,               0.001406,               0.001406,               0.001406
                      8,                 1.0223,                0.43242,                0.95125,                0.90661,                0.83712,                0.89771,                0.54682,                 1.4061,                0.59893,                 1.1959,               0.001307,               0.001307,               0.001307
                      9,                0.97667,                0.41712,                0.93738,                0.89915,                0.82929,                0.89216,                0.54519,                 1.4019,                0.62048,                 1.1969,               0.001208,               0.001208,               0.001208
                     10,                0.96413,                0.41038,                0.93477,                0.89974,                0.83161,                0.89154,                0.54984,                 1.3847,                0.58692,                  1.194,               0.001109,               0.001109,               0.001109
                     11,                0.94252,                    0.4,                0.95049,                0.90371,                0.83971,                0.89638,                0.55076,                 1.4001,                0.60653,                 1.2075,                0.00101,                0.00101,                0.00101
                     12,                0.89365,                0.38476,                0.93234,                0.86845,                0.83214,                0.88541,                0.50469,                 1.5474,                0.66872,                 1.2852,               0.000911,               0.000911,               0.000911
                     13,                0.85044,                 0.3701,                0.91565,                0.90392,                0.83105,                0.89679,                0.54756,                 1.4091,                0.59575,                 1.2192,               0.000812,               0.000812,               0.000812
                     14,                 0.8174,                0.35673,                0.90375,                0.89818,                0.83572,                0.89865,                0.53531,                 1.4463,                0.60539,                 1.2385,               0.000713,               0.000713,               0.000713
                     15,                  0.779,                0.34401,                0.89433,                0.90227,                0.84036,                0.90482,                0.55044,                 1.4186,                0.60195,                 1.2364,               0.000614,               0.000614,               0.000614
                     16,                 0.7441,                0.33336,                0.88298,                0.90168,                0.84145,                0.90501,                0.54337,                 1.4323,                0.60605,                 1.2391,               0.000515,               0.000515,               0.000515
                     17,                0.71332,                0.32327,                0.87312,                0.90506,                0.84215,                0.90812,                0.55691,                 1.4153,                0.59386,                 1.2365,               0.000416,               0.000416,               0.000416
                     18,                0.68989,                 0.3146,                0.86559,                0.90164,                0.83957,                0.90469,                0.55029,                 1.4254,                0.59539,                 1.2453,               0.000317,               0.000317,               0.000317
                     19,                0.65606,                0.30365,                0.85788,                0.90323,                0.83892,                0.90306,                0.54677,                 1.4361,                0.58574,                  1.261,               0.000218,               0.000218,               0.000218
                     20,                0.63347,                0.29661,                0.85316,                0.90732,                0.83728,                0.90468,                0.54965,                 1.4296,                0.58734,                 1.2557,               0.000119,               0.000119,               0.000119
