                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4557,                 1.0223,                 1.1002,                0.87626,                0.71968,                0.82615,                0.48149,                 1.4764,                0.85165,                 1.2201,             0.00066292,             0.00066292,             0.00066292
                      2,                 1.2336,                0.52927,                 1.0108,                0.88917,                0.78044,                0.86215,                0.52216,                 1.3899,                0.62969,                 1.1651,              0.0012638,              0.0012638,              0.0012638
                      3,                 1.1825,                0.49831,                0.98891,                0.90619,                0.82689,                0.89201,                0.54189,                 1.3886,                0.62067,                 1.1609,              0.0017986,              0.0017986,              0.0017986
                      4,                 1.1259,                 0.4752,                0.97227,                0.90577,                0.81017,                0.88623,                0.53375,                 1.4359,                0.63087,                 1.1843,               0.001703,               0.001703,               0.001703
                      5,                 1.0381,                0.44677,                0.94328,                0.87493,                0.80092,                0.87077,                0.50861,                 1.4803,                0.62847,                 1.2015,               0.001604,               0.001604,               0.001604
                      6,                0.96803,                0.41858,                 0.9242,                0.84633,                0.77945,                0.84943,                0.44317,                 1.6761,                0.69186,                 1.3121,               0.001505,               0.001505,               0.001505
                      7,                0.90298,                0.39604,                0.90532,                0.89175,                0.81719,                 0.8883,                0.53842,                 1.4359,                0.60209,                 1.1845,               0.001406,               0.001406,               0.001406
                      8,                0.85815,                 0.3797,                0.89323,                0.88042,                0.81401,                0.88332,                0.53605,                  1.419,                0.60991,                 1.1865,               0.001307,               0.001307,               0.001307
                      9,                0.82938,                0.36903,                0.88626,                 0.8976,                0.83333,                0.89913,                0.54667,                 1.4181,                0.58161,                 1.1957,               0.001208,               0.001208,               0.001208
                     10,                0.79541,                0.35756,                0.87814,                0.87827,                0.82817,                0.88914,                0.52315,                 1.4572,                 0.6062,                 1.2007,               0.001109,               0.001109,               0.001109
                     11,                0.75942,                 0.3401,                 0.8781,                0.88563,                0.82603,                0.89294,                0.53264,                 1.4366,                0.61192,                 1.2131,                0.00101,                0.00101,                0.00101
                     12,                0.74413,                0.33234,                0.87379,                0.88719,                0.81733,                 0.8879,                0.52529,                 1.4768,                0.60178,                 1.2259,               0.000911,               0.000911,               0.000911
                     13,                0.69918,                0.31604,                0.86035,                 0.8778,                  0.823,                0.88909,                0.52188,                 1.4796,                0.61874,                 1.2354,               0.000812,               0.000812,               0.000812
                     14,                0.66469,                0.30593,                0.85021,                0.90106,                0.83256,                0.89927,                0.54291,                 1.4266,                0.58628,                 1.2164,               0.000713,               0.000713,               0.000713
                     15,                0.63534,                 0.2948,                0.84461,                0.89641,                0.83586,                0.89941,                0.53725,                 1.4402,                0.58179,                 1.2244,               0.000614,               0.000614,               0.000614
                     16,                0.60804,                0.28409,                0.83646,                0.88714,                0.83276,                0.89962,                0.53503,                 1.4709,                 0.6042,                 1.2453,               0.000515,               0.000515,               0.000515
                     17,                0.57683,                0.27262,                0.82984,                0.89392,                0.83617,                0.90004,                0.54188,                 1.4484,                0.58702,                 1.2414,               0.000416,               0.000416,               0.000416
                     18,                0.56168,                0.26763,                0.82587,                0.88855,                0.83919,                0.90197,                 0.5459,                 1.4359,                0.58801,                 1.2271,               0.000317,               0.000317,               0.000317
                     19,                0.52844,                0.25665,                0.81988,                 0.8919,                0.83804,                0.90138,                0.54605,                 1.4406,                0.58952,                 1.2412,               0.000218,               0.000218,               0.000218
                     20,                0.50576,                0.24845,                0.81583,                0.89935,                0.83741,                0.90315,                0.54905,                  1.432,                0.57707,                 1.2367,               0.000119,               0.000119,               0.000119
